Timing chart, shimming + measurement 
s_p= 0.15 time= 12.827729556355516 seconds 
s_p= 0.2 time= 14.326229556355516 seconds 
s_p= 0.25 time= 15.824729556355516 seconds 
s_p= 0.275 time= 16.573979556355514 seconds 
s_p= 0.3 time= 17.323229556355514 seconds 
s_p= 0.325 time= 18.072479556355514 seconds 
s_p= 0.35 time= 18.82172955635551 seconds 
s_p= 0.375 time= 19.570979556355514 seconds 
s_p= 0.4 time= 20.320229556355514 seconds 
s_p= 0.425 time= 21.069479556355514 seconds 
s_p= 0.45 time= 21.818729556355514 seconds 
s_p= 0.475 time= 22.567979556355514 seconds 
s_p= 0.5 time= 23.317229556355514 seconds 
s_p= 0.525 time= 24.066479556355514 seconds 
s_p= 0.55 time= 24.815729556355514 seconds 
s_p= 0.6 time= 26.314229556355514 seconds 
s_p= 0.65 time= 27.812729556355514 seconds 
h1= 0.0 time= 345.44390245804374 seconds 
 
s_p= 0.15 time= 12.827729556355516 seconds 
s_p= 0.2 time= 14.326229556355516 seconds 
s_p= 0.25 time= 15.824729556355516 seconds 
s_p= 0.275 time= 16.573979556355514 seconds 
s_p= 0.3 time= 17.323229556355514 seconds 
s_p= 0.325 time= 18.072479556355514 seconds 
s_p= 0.35 time= 18.82172955635551 seconds 
s_p= 0.375 time= 19.570979556355514 seconds 
s_p= 0.4 time= 20.320229556355514 seconds 
s_p= 0.425 time= 21.069479556355514 seconds 
s_p= 0.45 time= 21.818729556355514 seconds 
s_p= 0.475 time= 22.567979556355514 seconds 
s_p= 0.5 time= 23.317229556355514 seconds 
s_p= 0.525 time= 24.066479556355514 seconds 
s_p= 0.55 time= 24.815729556355514 seconds 
s_p= 0.6 time= 26.314229556355514 seconds 
s_p= 0.65 time= 27.812729556355514 seconds 
h1= 0.20767127120481305 time= 345.44390245804374 seconds 
 
s_p= 0.15 time= 12.827729556355516 seconds 
s_p= 0.2 time= 14.326229556355516 seconds 
s_p= 0.25 time= 15.824729556355516 seconds 
s_p= 0.275 time= 16.573979556355514 seconds 
s_p= 0.3 time= 17.323229556355514 seconds 
s_p= 0.325 time= 18.072479556355514 seconds 
s_p= 0.35 time= 18.82172955635551 seconds 
s_p= 0.375 time= 19.570979556355514 seconds 
s_p= 0.4 time= 20.320229556355514 seconds 
s_p= 0.425 time= 21.069479556355514 seconds 
s_p= 0.45 time= 21.818729556355514 seconds 
s_p= 0.475 time= 22.567979556355514 seconds 
s_p= 0.5 time= 23.317229556355514 seconds 
s_p= 0.525 time= 24.066479556355514 seconds 
s_p= 0.55 time= 24.815729556355514 seconds 
s_p= 0.6 time= 26.314229556355514 seconds 
s_p= 0.65 time= 27.812729556355514 seconds 
h1= 0.4153425424096261 time= 345.44390245804374 seconds 
 
s_p= 0.15 time= 12.827729556355516 seconds 
s_p= 0.2 time= 14.326229556355516 seconds 
s_p= 0.25 time= 15.824729556355516 seconds 
s_p= 0.275 time= 16.573979556355514 seconds 
s_p= 0.3 time= 17.323229556355514 seconds 
s_p= 0.325 time= 18.072479556355514 seconds 
s_p= 0.35 time= 18.82172955635551 seconds 
s_p= 0.375 time= 19.570979556355514 seconds 
s_p= 0.4 time= 20.320229556355514 seconds 
s_p= 0.425 time= 21.069479556355514 seconds 
s_p= 0.45 time= 21.818729556355514 seconds 
s_p= 0.475 time= 22.567979556355514 seconds 
s_p= 0.5 time= 23.317229556355514 seconds 
s_p= 0.525 time= 24.066479556355514 seconds 
s_p= 0.55 time= 24.815729556355514 seconds 
s_p= 0.6 time= 26.314229556355514 seconds 
s_p= 0.65 time= 27.812729556355514 seconds 
h1= 0.6230138136144392 time= 345.44390245804374 seconds 
 
s_p= 0.15 time= 12.827729556355516 seconds 
s_p= 0.2 time= 14.326229556355516 seconds 
s_p= 0.25 time= 15.824729556355516 seconds 
s_p= 0.275 time= 16.573979556355514 seconds 
s_p= 0.3 time= 17.323229556355514 seconds 
s_p= 0.325 time= 18.072479556355514 seconds 
s_p= 0.35 time= 18.82172955635551 seconds 
s_p= 0.375 time= 19.570979556355514 seconds 
s_p= 0.4 time= 20.320229556355514 seconds 
s_p= 0.425 time= 21.069479556355514 seconds 
s_p= 0.45 time= 21.818729556355514 seconds 
s_p= 0.475 time= 22.567979556355514 seconds 
s_p= 0.5 time= 23.317229556355514 seconds 
s_p= 0.525 time= 24.066479556355514 seconds 
s_p= 0.55 time= 24.815729556355514 seconds 
s_p= 0.6 time= 26.314229556355514 seconds 
s_p= 0.65 time= 27.812729556355514 seconds 
h1= 0.8306850848192522 time= 345.44390245804374 seconds 
 
s_p= 0.15 time= 12.827729556355516 seconds 
s_p= 0.2 time= 14.326229556355516 seconds 
s_p= 0.25 time= 15.824729556355516 seconds 
s_p= 0.275 time= 16.573979556355514 seconds 
s_p= 0.3 time= 17.323229556355514 seconds 
s_p= 0.325 time= 18.072479556355514 seconds 
s_p= 0.35 time= 18.82172955635551 seconds 
s_p= 0.375 time= 19.570979556355514 seconds 
s_p= 0.4 time= 20.320229556355514 seconds 
s_p= 0.425 time= 21.069479556355514 seconds 
s_p= 0.45 time= 21.818729556355514 seconds 
s_p= 0.475 time= 22.567979556355514 seconds 
s_p= 0.5 time= 23.317229556355514 seconds 
s_p= 0.525 time= 24.066479556355514 seconds 
s_p= 0.55 time= 24.815729556355514 seconds 
s_p= 0.6 time= 26.314229556355514 seconds 
s_p= 0.65 time= 27.812729556355514 seconds 
h1= 1.0383563560240652 time= 345.44390245804374 seconds 
 
s_p= 0.15 time= 12.827729556355516 seconds 
s_p= 0.2 time= 14.326229556355516 seconds 
s_p= 0.25 time= 15.824729556355516 seconds 
s_p= 0.275 time= 16.573979556355514 seconds 
s_p= 0.3 time= 17.323229556355514 seconds 
s_p= 0.325 time= 18.072479556355514 seconds 
s_p= 0.35 time= 18.82172955635551 seconds 
s_p= 0.375 time= 19.570979556355514 seconds 
s_p= 0.4 time= 20.320229556355514 seconds 
s_p= 0.425 time= 21.069479556355514 seconds 
s_p= 0.45 time= 21.818729556355514 seconds 
s_p= 0.475 time= 22.567979556355514 seconds 
